airline,Dest,DestCityName,turnarounds,avg_turnaround_minutes,tight_turn_rate,idle_turn_rate,inbound_late_rate,delay_propagation_rate
Southwest Airlines (WN),SFO,"San Francisco, CA",625,53.7568,30.4,0.64,58.4,52.16
Frontier Airlines (F9),SFO,"San Francisco, CA",227,56.136563876651984,25.55066079295154,0.0,48.458149779735685,45.81497797356828
Spirit Airlines (NK),RSW,"Fort Myers, FL",113,64.46902654867256,6.1946902654867255,0.0,45.13274336283185,39.823008849557525
PSA Airlines (OH),AGS,"Augusta, GA",78,42.8974358974359,76.92307692307693,2.564102564102564,41.02564102564102,39.743589743589745
Allegiant Air (G4),FLL,"Fort Lauderdale, FL",296,64.69594594594595,5.405405405405405,0.6756756756756757,38.513513513513516,37.16216216216216
Spirit Airlines (NK),ORD,"Chicago, IL",297,81.58249158249158,0.6734006734006733,3.3670033670033668,40.06734006734007,36.02693602693603
Spirit Airlines (NK),LGA,"New York, NY",250,67.504,2.8000000000000003,1.2,40.400000000000006,35.6
SkyWest Airlines (OO),FWA,"Fort Wayne, IN",153,41.58169934640523,64.05228758169935,0.6535947712418301,44.44444444444444,35.294117647058826
Frontier Airlines (F9),LGA,"New York, NY",158,59.60126582278481,8.227848101265822,0.0,39.24050632911392,34.810126582278485
Spirit Airlines (NK),BOS,"Boston, MA",218,71.89908256880734,2.7522935779816518,1.834862385321101,39.44954128440367,33.48623853211009
American Airlines (AA),MFE,"Mission/McAllen/Edinburg, TX",84,52.583333333333336,48.80952380952381,2.380952380952381,34.523809523809526,33.33333333333333
Southwest Airlines (WN),ORD,"Chicago, IL",297,54.178451178451176,22.22222222222222,0.0,34.68013468013468,32.996632996633
Alaska Airlines (AS),SFO,"San Francisco, CA",509,89.41257367387034,1.9646365422396856,5.697445972495088,43.222003929273086,31.630648330058943
Spirit Airlines (NK),PHL,"Philadelphia, PA",127,97.01574803149606,4.724409448818897,10.236220472440944,38.582677165354326,31.496062992125985
Spirit Airlines (NK),MSY,"New Orleans, LA",99,106.82828282828282,2.0202020202020203,14.14141414141414,34.34343434343434,30.303030303030305
Spirit Airlines (NK),CLT,"Charlotte, NC",189,70.98412698412699,3.1746031746031744,2.1164021164021163,31.746031746031743,29.629629629629626
Spirit Airlines (NK),ATL,"Atlanta, GA",333,77.93993993993993,0.3003003003003003,3.003003003003003,35.73573573573574,29.429429429429426
Frontier Airlines (F9),BDL,"Hartford, CT",82,66.15853658536585,14.634146341463413,1.2195121951219512,29.268292682926827,29.268292682926827
SkyWest Airlines (OO),FNT,"Flint, MI",102,41.1764705882353,68.62745098039215,0.0,39.21568627450981,28.431372549019606
PSA Airlines (OH),HSV,"Huntsville, AL",92,44.81521739130435,61.95652173913043,0.0,28.26086956521739,28.26086956521739
Allegiant Air (G4),FNT,"Flint, MI",85,63.78823529411765,5.88235294117647,1.1764705882352942,31.76470588235294,28.235294117647058
Spirit Airlines (NK),DTW,"Detroit, MI",364,81.62912087912088,2.197802197802198,3.8461538461538463,35.714285714285715,28.021978021978022
SkyWest Airlines (OO),CHO,"Charlottesville, VA",75,45.0,56.00000000000001,0.0,33.33333333333333,28.000000000000004
Frontier Airlines (F9),FLL,"Fort Lauderdale, FL",354,64.94067796610169,5.932203389830509,1.1299435028248588,29.09604519774011,27.966101694915253
Frontier Airlines (F9),CLT,"Charlotte, NC",260,64.16538461538461,17.307692307692307,1.5384615384615385,30.76923076923077,27.692307692307693
Southwest Airlines (WN),BOS,"Boston, MA",430,56.03953488372093,18.372093023255815,0.46511627906976744,27.44186046511628,27.44186046511628
Spirit Airlines (NK),EWR,"Newark, NJ",447,89.14093959731544,0.44742729306487694,5.1454138702460845,32.662192393736014,27.293064876957494
PSA Airlines (OH),MCI,"Kansas City, MO",99,38.333333333333336,79.7979797979798,0.0,30.303030303030305,27.27272727272727
American Airlines (AA),SFO,"San Francisco, CA",576,73.81770833333333,3.125,3.6458333333333335,34.72222222222222,27.256944444444443
SkyWest Airlines (OO),PIA,"Peoria, IL",125,49.368,62.4,2.4,35.199999999999996,27.200000000000003
Spirit Airlines (NK),TPA,"Tampa, FL",164,64.34756097560975,8.536585365853659,1.2195121951219512,31.097560975609756,26.82926829268293
Envoy Air (MQ),FSD,"Sioux Falls, SD",94,38.52127659574468,84.04255319148936,0.0,30.851063829787233,26.595744680851062
PSA Airlines (OH),HPN,"White Plains, NY",158,36.79746835443038,86.07594936708861,0.6329113924050633,26.582278481012654,25.949367088607595
Envoy Air (MQ),CVG,"Cincinnati, OH",85,42.50588235294118,71.76470588235294,1.1764705882352942,25.882352941176475,25.882352941176475
PSA Airlines (OH),CHA,"Chattanooga, TN",85,43.705882352941174,69.41176470588235,1.1764705882352942,25.882352941176475,25.882352941176475
SkyWest Airlines (OO),DLH,"Duluth, MN",93,45.354838709677416,65.59139784946237,2.1505376344086025,35.483870967741936,25.806451612903224
