Reporting_Airline,turnarounds,aircraft,avg_turnaround_minutes,pct_under_45_min,pct_over_180_min,delay_propagation_rate,turnarounds_per_aircraft
NK,7048,114,109.8755675368899,2.0856980703745744,9.988649262202042,24.616912599318955,61.824561403508774
G4,7598,123,59.43024480126349,12.924453803632534,0.7765201368781258,17.702026849170835,61.77235772357724
F9,13231,180,83.60501851711889,6.40163252966518,4.6179427103015644,17.270047615448565,73.50555555555556
WN,93259,787,59.340010079456135,25.220085997061947,1.1923782155073506,16.800523273893138,118.49936467598475
OH,16068,136,64.36189942743341,44.510828976848394,3.2175753049539457,15.683345780433159,118.1470588235294
B6,13043,284,100.96020854097983,3.0284443762937974,7.820286743847274,15.027217664647704,45.92605633802817
AA,57683,930,93.45273304093061,6.854705892550665,5.9861657680772495,12.981294315482897,62.0247311827957
OO,56104,514,68.61642663624697,36.98488521317553,3.965849137316412,11.83516326821617,109.15175097276264
MQ,21040,180,74.34287072243346,43.68346007604563,5.7176806083650185,11.763307984790874,116.88888888888889
YX,24045,215,61.97201081305885,34.16510709087128,1.8756498232480763,11.100020794343939,111.83720930232558
AS,18140,355,79.20060639470783,13.417861080485116,3.0760749724366043,9.558985667034179,51.098591549295776
DL,61584,906,88.48525591062614,3.005650818394388,4.223499610288386,8.287866978435957,67.97350993377484
UA,44969,975,98.68142498165403,1.9635749071582647,5.345904956747982,8.074451288665525,46.12205128205128
