airline,arrival_hour,turnarounds,avg_turnaround_minutes,tight_turn_rate,delay_propagation_rate
Alaska Airlines (AS),5,123,130.21138211382114,0.0,2.4390243902439024
Alaska Airlines (AS),6,385,75.2,34.54545454545455,0.2597402597402597
Alaska Airlines (AS),7,456,73.12061403508773,29.385964912280706,4.605263157894736
Alaska Airlines (AS),8,853,75.93200468933178,21.570926143024618,2.6963657678780772
Alaska Airlines (AS),9,1643,83.36944613511868,10.346926354230067,3.8344491783323194
Alaska Airlines (AS),10,1413,78.88110403397027,12.526539278131635,6.794055201698514
Alaska Airlines (AS),11,1253,82.47645650438946,15.323224261771747,11.811652035115722
Alaska Airlines (AS),12,1085,78.47281105990784,14.47004608294931,11.152073732718893
Alaska Airlines (AS),13,1650,81.28060606060606,10.181818181818182,10.242424242424242
Alaska Airlines (AS),14,1169,76.3267750213858,17.023096663815227,15.226689478186483
Alaska Airlines (AS),15,1271,79.99134539732493,11.880409126671912,10.149488591660111
Alaska Airlines (AS),16,1772,79.33972911963883,10.778781038374719,7.7878103837471775
Alaska Airlines (AS),17,1511,76.38186631369953,10.522832561217736,10.986101919258768
Alaska Airlines (AS),18,1071,76.51820728291317,9.617180205415501,12.231559290382819
Alaska Airlines (AS),19,953,77.46274921301155,15.424973767051418,10.807974816369361
Alaska Airlines (AS),20,853,76.29308323563892,14.654161781946073,11.137162954279015
Alaska Airlines (AS),21,489,78.36605316973416,7.975460122699387,17.995910020449898
Alaska Airlines (AS),22,156,66.3974358974359,1.9230769230769231,37.82051282051282
Allegiant Air (G4),7,127,60.661417322834644,7.086614173228346,1.574803149606299
Allegiant Air (G4),8,357,57.7563025210084,9.243697478991598,3.9215686274509802
Allegiant Air (G4),9,535,59.18691588785047,6.915887850467289,5.046728971962617
Allegiant Air (G4),10,568,57.896126760563384,11.091549295774648,6.866197183098592
Allegiant Air (G4),11,736,58.692934782608695,9.103260869565217,7.608695652173914
Allegiant Air (G4),12,593,64.17706576728499,5.902192242833052,9.612141652613827
Allegiant Air (G4),13,660,67.18636363636364,8.636363636363637,12.272727272727273
Allegiant Air (G4),14,775,64.69290322580645,7.354838709677419,13.419354838709676
Allegiant Air (G4),15,590,59.40169491525424,12.372881355932204,27.11864406779661
Allegiant Air (G4),16,498,58.21686746987952,12.449799196787147,20.080321285140563
Allegiant Air (G4),17,607,56.19934102141681,16.96869851729819,22.57001647446458
Allegiant Air (G4),18,508,56.425196850393704,17.716535433070867,32.08661417322835
Allegiant Air (G4),19,403,53.79156327543424,23.325062034739457,33.49875930521092
Allegiant Air (G4),20,363,53.28650137741047,29.476584022038566,30.57851239669421
Allegiant Air (G4),21,210,54.47142857142857,37.142857142857146,55.23809523809524
American Airlines (AA),5,261,116.86973180076629,0.38314176245210724,0.0
American Airlines (AA),6,755,119.84900662251655,2.251655629139073,0.7947019867549668
American Airlines (AA),7,2158,134.6362372567192,1.2511584800741427,0.8341056533827619
American Airlines (AA),8,3535,149.2973125884017,3.6775106082036775,2.0084865629420086
American Airlines (AA),9,4978,130.64423463238248,4.6203294495781435,4.7408597830454005
American Airlines (AA),10,4368,100.23878205128206,6.7765567765567765,7.371794871794872
American Airlines (AA),11,4280,96.30233644859813,6.425233644859812,9.11214953271028
American Airlines (AA),12,4129,85.15596996851538,5.933640106563332,11.189149915233713
American Airlines (AA),13,4456,82.10008976660683,5.475763016157989,12.926391382405743
American Airlines (AA),14,4286,81.876574895007,6.019598693420439,13.765748950069995
American Airlines (AA),15,3834,81.80855503390714,5.294731351069379,16.458007303077725
American Airlines (AA),16,3901,76.44552678800308,7.126377851832863,16.277877467316074
American Airlines (AA),17,4064,75.73006889763779,7.283464566929133,17.1751968503937
American Airlines (AA),18,3971,77.7592545958197,13.749685217829263,19.516494585746663
American Airlines (AA),19,3443,78.23467905896021,13.389485913447574,22.073772872494917
American Airlines (AA),20,2367,79.10519645120405,9.167722855935784,26.362484157160964
American Airlines (AA),21,2086,70.52732502396933,6.615532118887824,19.55896452540748
American Airlines (AA),22,741,61.800269905533064,10.6612685560054,36.032388663967616
American Airlines (AA),23,53,47.867924528301884,24.528301886792452,32.075471698113205
Delta Air Lines (DL),5,137,126.86131386861314,0.0,0.0
Delta Air Lines (DL),6,656,111.26371951219512,0.6097560975609756,0.0
Delta Air Lines (DL),7,2135,119.67447306791568,1.592505854800937,0.702576112412178
Delta Air Lines (DL),8,4187,110.1048483401003,2.173393838070217,1.0747551946501075
Delta Air Lines (DL),9,4962,102.05521966948811,2.559451833937928,4.070939137444579
Delta Air Lines (DL),10,4715,88.96415694591728,2.417815482502651,5.153764581124072
Delta Air Lines (DL),11,4759,79.23765496953142,2.416474049169994,6.6400504307627655
Delta Air Lines (DL),12,4523,84.30311739995578,2.1445942958213573,7.627680742869777
Delta Air Lines (DL),13,4739,84.57775902089048,2.194555813462756,7.6387423507069006
Delta Air Lines (DL),14,4804,81.65820149875104,2.1856786011656952,8.930058284762698
Delta Air Lines (DL),15,4397,82.35046622697294,2.2060495792585852,9.938594496247442
Delta Air Lines (DL),16,4629,81.33851803845323,3.7805141499243895,9.181248649816375
Delta Air Lines (DL),17,4451,79.36710851494047,5.279712424174344,12.87351157043361
Delta Air Lines (DL),18,4297,81.37840353735164,5.678380265301373,11.845473586222946
Delta Air Lines (DL),19,3242,93.31276989512646,5.243676742751388,15.946946329426282
Delta Air Lines (DL),20,2518,90.21286735504368,2.8196981731532964,11.358220810166799
Delta Air Lines (DL),21,1825,82.15780821917808,1.9726027397260273,12.273972602739725
Delta Air Lines (DL),22,577,68.73483535528597,4.506065857885615,28.769497400346623
Envoy Air (MQ),5,149,99.83892617449665,0.0,0.6711409395973155
Envoy Air (MQ),6,608,99.5032894736842,7.565789473684211,0.1644736842105263
Envoy Air (MQ),7,976,112.93545081967213,13.62704918032787,0.6147540983606558
Envoy Air (MQ),8,1336,150.75224550898204,24.775449101796408,2.470059880239521
Envoy Air (MQ),9,1610,115.0360248447205,43.29192546583851,5.714285714285714
Envoy Air (MQ),10,1332,82.44369369369369,44.8948948948949,7.3573573573573565
Envoy Air (MQ),11,1731,64.01906412478336,48.931253610629696,7.336799537839399
Envoy Air (MQ),12,1567,72.12061263560945,45.94767070835992,11.423101467772815
