airline,turnarounds,aircraft_tracked,avg_turnaround_minutes,median_turnaround_minutes,p90_turnaround_minutes,critical_turn_rate,tight_turn_rate,standard_turn_rate,idle_turn_rate,inbound_late_rate,next_departure_late_rate,delay_propagation_rate,late_recovery_rate,avg_arrival_delay,avg_next_departure_delay,avg_daily_legs_per_aircraft,avg_daily_airborne_hours,avg_daily_ground_hours,turns_per_aircraft,reliability_gap
Spirit Airlines (NK),7048,114,109.8755675368899,67.0,179.30000000000018,0.04256526674233825,2.0856980703745744,74.58853575482406,9.988649262202042,30.973325766174803,35.967650397275825,24.616912599318955,6.3564131668558455,13.269154370034052,19.457150964812712,3.9244813278008297,6.01237897648686,5.355484094052559,61.824561403508774,4.994324631101023
Allegiant Air (G4),7598,123,59.43024480126349,54.0,75.0,0.7501974203737826,12.924453803632534,81.07396683337721,0.7765201368781258,20.0842326928139,25.87523032376941,17.702026849170835,2.3822058436430638,3.0055277704659122,9.944327454593314,4.0367705835331735,6.3625566213695715,3.0079336530775382,61.77235772357724,5.790997630955513
Frontier Airlines (F9),13231,180,83.60501851711889,67.0,117.0,0.551734562769254,6.40163252966518,73.38825485601996,4.6179427103015644,22.477514927065226,26.551281082306705,17.270047615448565,5.207467311616658,3.9762678557932127,13.078452120021163,4.238922888616891,6.3782945736434105,4.513170134638923,73.50555555555556,4.073766155241479
Southwest Airlines (WN),93259,787,59.340010079456135,52.0,79.0,4.0864688662756405,25.220085997061947,69.03569628668546,1.1923782155073506,19.669951425599674,30.60079992279566,16.800523273893138,2.869428151706538,2.5359911643916404,12.961419273206875,5.285996599108415,7.596641236576437,4.238851356526801,118.49936467598475,10.930848497195985
PSA Airlines (OH),16068,136,64.36189942743341,48.0,101.0,21.92556634304207,44.510828976848394,41.716455065969626,3.2175753049539457,20.463032113517553,24.321633059497135,15.683345780433159,4.779686333084392,3.86133930794125,13.313604680109535,5.390163934426229,5.61457650273224,4.709321493624772,118.1470588235294,3.858600945979582
JetBlue Airways (B6),13043,284,100.96020854097983,70.0,149.0,0.13033811239745458,3.0284443762937974,70.53591965038719,7.820286743847274,21.130108103963813,25.891282680364945,15.027217664647704,6.102890439316108,3.3549796825883615,11.886069155869048,3.3237128095492605,6.263718154284696,3.910042164023992,45.92605633802817,4.761174576401132
American Airlines (AA),57683,930,93.45273304093061,67.0,127.0,0.8078636686718791,6.854705892550665,70.19052407121681,5.9861657680772495,18.31388797392646,26.00246173049252,12.981294315482897,5.332593658443562,0.6426503475894111,13.441447220151518,3.7932303520410633,6.19684438203154,4.350583506851968,62.0247311827957,7.688573756566061
SkyWest Airlines (OO),56104,514,68.61642663624697,52.0,113.0,16.717168116355342,36.98488521317553,47.31391701126479,3.965849137316412,18.611863681733922,18.052188792242976,11.83516326821617,6.776700413517752,3.1338585484100956,7.5163981177812635,5.146024238841266,4.993677948566361,4.741422800275889,109.15175097276264,-0.559674889490946
Envoy Air (MQ),21040,180,74.34287072243346,48.0,104.0,18.5361216730038,43.68346007604563,43.4458174904943,5.7176806083650185,16.70152091254753,18.811787072243348,11.763307984790874,4.938212927756655,-0.1401615969581749,8.243916349809886,5.293877551020408,5.5925,5.320319727891157,116.88888888888889,2.1102661596958185
Republic Airways (YX),24045,215,61.97201081305885,53.0,92.0,15.200665419006029,34.16510709087128,55.48346849656893,1.8756498232480763,16.157205240174672,17.267623206487837,11.100020794343939,5.0571844458307345,-2.3357454772301933,6.43297982948638,5.076805696846389,5.533875890132248,4.210797445461738,111.83720930232558,1.1104179663131646
Alaska Airlines (AS),18140,355,79.20060639470783,69.0,117.0,6.791620727673648,13.417861080485116,64.45424476295479,3.0760749724366043,14.195148842337376,18.395810363836826,9.558985667034179,4.636163175303197,-2.8371554575523703,6.1921168687982355,3.6248010418173924,6.567551729127477,3.4647639029566393,51.098591549295776,4.20066152149945
Delta Air Lines (DL),61584,906,88.48525591062614,73.0,121.0,0.1477656534164718,3.005650818394388,72.7494154325799,4.223499610288386,12.823135879449207,15.422837100545598,8.287866978435957,4.53526890101325,-3.1591647181086,4.801994024421928,4.023269513991163,6.351029291441662,4.458579610538373,67.97350993377484,2.5997012210963906
United Airlines (UA),44969,975,98.68142498165403,81.0,135.0,0.09784518223665192,1.9635749071582647,62.19395583624274,5.345904956747982,15.143765705263625,16.57363961840379,8.074451288665525,7.0693144165981,-1.6993484400364696,7.2876648357757565,3.3462903057497653,5.577540088350899,3.8589211798671257,46.12205128205128,1.4298739131401632
