airline,route,next_route,Dest,turnarounds,avg_turnaround_minutes,tight_turn_rate,delay_propagation_rate,avg_arrival_delay,avg_next_departure_delay
Southwest Airlines (WN),MSY -> TPA,TPA -> MSY,TPA,10,37.5,90.0,100.0,46.0,43.5
Spirit Airlines (NK),FLL -> DTW,DTW -> FLL,DTW,11,67.0909090909091,0.0,100.0,60.72727272727273,62.81818181818182
Southwest Airlines (WN),SAN -> BOI,BOI -> DEN,BOI,10,46.1,50.0,100.0,65.7,71.8
Southwest Airlines (WN),SFO -> LAS,LAS -> DAL,LAS,11,53.0,18.181818181818183,100.0,95.0,108.0
Frontier Airlines (F9),ONT -> SFO,SFO -> LAS,SFO,13,38.92307692307692,84.61538461538461,92.3076923076923,46.30769230769231,39.46153846153846
Southwest Airlines (WN),SAN -> SFO,SFO -> STL,SFO,11,60.90909090909091,9.090909090909092,90.9090909090909,59.81818181818182,80.72727272727273
JetBlue Airways (B6),PBI -> DCA,DCA -> FLL,DCA,11,64.27272727272727,18.181818181818183,90.9090909090909,63.63636363636363,67.9090909090909
Southwest Airlines (WN),DAL -> BNA,BNA -> STL,BNA,10,56.7,10.0,90.0,28.4,45.1
Southwest Airlines (WN),LAS -> BNA,BNA -> PHL,BNA,10,55.9,20.0,90.0,57.6,63.5
Southwest Airlines (WN),LAX -> AUS,AUS -> BWI,AUS,10,50.1,20.0,90.0,31.4,36.5
Southwest Airlines (WN),RDU -> BNA,BNA -> JAN,BNA,10,44.6,50.0,90.0,40.1,44.7
Southwest Airlines (WN),BNA -> STL,STL -> OMA,STL,10,44.7,80.0,90.0,38.7,39.4
Southwest Airlines (WN),SAN -> RNO,RNO -> LGB,RNO,10,38.9,100.0,90.0,40.5,44.4
Southwest Airlines (WN),OKC -> BNA,BNA -> DEN,BNA,10,48.3,20.0,90.0,49.2,57.5
Southwest Airlines (WN),PHX -> SAN,SAN -> RNO,SAN,10,44.4,40.0,90.0,37.1,46.5
Frontier Airlines (F9),LAX -> SFO,SFO -> ATL,SFO,23,64.56521739130434,0.0,86.95652173913044,38.869565217391305,41.608695652173914
Spirit Airlines (NK),SJU -> ATL,ATL -> SJU,ATL,15,58.0,0.0,86.66666666666667,34.666666666666664,33.86666666666667
Spirit Airlines (NK),RSW -> BOS,BOS -> MIA,BOS,13,82.23076923076923,0.0,84.61538461538461,49.76923076923077,76.23076923076923
Southwest Airlines (WN),LAS -> SFO,SFO -> SAN,SFO,12,53.0,33.33333333333333,83.33333333333334,57.5,71.75
Spirit Airlines (NK),SJU -> PHL,PHL -> FLL,PHL,11,92.0909090909091,9.090909090909092,81.81818181818183,97.54545454545455,65.0909090909091
Southwest Airlines (WN),DEN -> SFO,SFO -> LAS,SFO,11,53.90909090909091,9.090909090909092,81.81818181818183,32.63636363636363,47.0
Southwest Airlines (WN),ATL -> LAS,LAS -> OAK,LAS,10,53.0,30.0,80.0,33.4,46.4
Southwest Airlines (WN),LAX -> BWI,BWI -> IND,BWI,10,43.9,70.0,80.0,38.9,47.8
Southwest Airlines (WN),SFO -> STL,STL -> DEN,STL,10,51.2,70.0,80.0,81.5,75.2
Southwest Airlines (WN),AUS -> SJC,SJC -> LAS,SJC,10,52.6,30.0,80.0,30.0,42.6
Southwest Airlines (WN),SAN -> PHX,PHX -> ONT,PHX,10,96.1,30.0,80.0,33.0,45.1
Southwest Airlines (WN),PSP -> LAS,LAS -> SAT,LAS,10,36.3,80.0,80.0,43.7,30.0
